DISCOUNT IN %,HOTEL_RATING,NEW PRICE,SAVE IN DOLLARS,DEPARTURE DATE,PACKAGE,DURATION,COUNTRY,CITY,HOTEL,OLD PRICE,GATEWAY,LINK
31,rating:4,$1515,$690,2024-04-03,All Inclusive,7,Cuba,Varadero,Melia Varadero,$2205,Bagotville:YBG,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YBG&dest_dep=15&no_hotel=72&date_dep=20240403&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
16,rating:5,$1905,$370,2024-04-10,All Inclusive,7,Cuba,Varadero,Iberostar Selection Varadero,$2275,Bagotville:YBG,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YBG&dest_dep=15&no_hotel=1817&date_dep=20240410&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
19,rating:4,$2035,$490,2024-04-10,All Inclusive,7,Cuba,Varadero,Playa Vista Azul,$2525,Bagotville:YBG,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YBG&dest_dep=15&no_hotel=10860&date_dep=20240410&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
18,rating:4.5,$2475,$550,2024-04-02,All Inclusive,7,Dominican Republic,La Romana,Iberostar Selection Hacienda Dominicus,$3025,Bagotville:YBG,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YBG&dest_dep=73&no_hotel=1370&date_dep=20240402&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
19,rating:5,$2215,$520,2024-04-08,All Inclusive,7,Mexico,Riviera Maya,Grand Sunset Princess All Suites and Spa Resort,$2735,Bagotville:YBG,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YBG&dest_dep=24&no_hotel=273&date_dep=20240408&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
16,rating:5,$2405,$480,2024-04-08,All Inclusive,7,Mexico,Riviera Maya,Family Club at Grand Riviera Princess All Suites and Spa Resort,$2885,Bagotville:YBG,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YBG&dest_dep=24&no_hotel=11705&date_dep=20240408&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
11,rating:5,$2575,$350,2024-04-08,All Inclusive,7,Mexico,Riviera Maya,Royalton Riviera Cancun An Autograph Collection All Inclusive Resort and Casino,$2925,Bagotville:YBG,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YBG&dest_dep=24&no_hotel=10652&date_dep=20240408&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
14,rating:4.5,$2825,$490,2024-04-08,All Inclusive,7,Mexico,Riviera Maya,Iberostar Selection Paraiso Maya Suites,$3315,Bagotville:YBG,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YBG&dest_dep=24&no_hotel=1716&date_dep=20240408&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
16,rating:5,$3125,$620,2024-04-08,All Inclusive,7,Mexico,Cancun,Planet Hollywood Cancun An Autograph Collection All Inclusive Resort,$3745,Bagotville:YBG,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YBG&dest_dep=2&no_hotel=11899&date_dep=20240408&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
10,rating:5,$3255,$400,2024-04-08,All Inclusive,7,Mexico,Riviera Maya,Royalton Splash Riviera Cancun An Autograph Collection All Inclusive Resort,$3655,Bagotville:YBG,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YBG&dest_dep=24&no_hotel=12285&date_dep=20240408&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
24,rating:5,$1975,$650,2024-04-02,All Inclusive,7,Dominican Republic,Punta Cana,Riu Bambu,$2625,Bagotville:YBG,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YBG&dest_dep=10&no_hotel=977&date_dep=20240402&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
